stage,stage_label,lag_ns,domain_id,n_samples,ca_rmsd,drmsd_long_range,drmsd_all,rotation_geodesic_mean_deg,bond_length_rmse,bond_angle_ca_c_n_mae_deg,bond_angle_c_n_ca_mae_deg,bond_angle_mae_deg,ca_neighbor_distance_mae,contact_f1,formed_contact_f1,broken_contact_f1,heavy_atom_rmsd,backbone_heavy_rmsd,sidechain_heavy_rmsd,bondi_serious_overlap_rate,bondi_serious_inter_residue_backbone_backbone_rate,bondi_serious_inter_residue_backbone_sidechain_rate,bondi_serious_inter_residue_sidechain_sidechain_rate,bondi_serious_intra_residue_backbone_backbone_rate,bondi_serious_intra_residue_backbone_sidechain_rate,bondi_serious_intra_residue_sidechain_sidechain_rate,atom_contact_any_precision,atom_contact_any_recall,atom_contact_any_f1,atom_contact_backbone_backbone_f1,atom_contact_backbone_sidechain_f1,atom_contact_sidechain_sidechain_f1,atom_contact_formed_precision,atom_contact_formed_recall,atom_contact_formed_f1,atom_contact_broken_precision,atom_contact_broken_recall,atom_contact_broken_f1,ca_rmsd_n,drmsd_long_range_n,drmsd_all_n,rotation_geodesic_mean_deg_n,bond_length_rmse_n,bond_angle_ca_c_n_mae_deg_n,bond_angle_c_n_ca_mae_deg_n,bond_angle_mae_deg_n,ca_neighbor_distance_mae_n,contact_f1_n,formed_contact_f1_n,broken_contact_f1_n,heavy_atom_rmsd_n,backbone_heavy_rmsd_n,sidechain_heavy_rmsd_n,bondi_serious_overlap_rate_n,bondi_serious_inter_residue_backbone_backbone_rate_n,bondi_serious_inter_residue_backbone_sidechain_rate_n,bondi_serious_inter_residue_sidechain_sidechain_rate_n,bondi_serious_intra_residue_backbone_backbone_rate_n,bondi_serious_intra_residue_backbone_sidechain_rate_n,bondi_serious_intra_residue_sidechain_sidechain_rate_n,atom_contact_any_precision_n,atom_contact_any_recall_n,atom_contact_any_f1_n,atom_contact_backbone_backbone_f1_n,atom_contact_backbone_sidechain_f1_n,atom_contact_sidechain_sidechain_f1_n,atom_contact_formed_precision_n,atom_contact_formed_recall_n,atom_contact_formed_f1_n,atom_contact_broken_precision_n,atom_contact_broken_recall_n,atom_contact_broken_f1_n
identity,identity_current_atoms,1.0,1ad3A02,60,2.478932026028633,1.835367017499275,1.795289017607583,25.888488245010375,0.07961864683944533,4.2948109707271005,5.318152488415487,4.806481729571293,0.07365329097636374,0.8164013133795682,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,,,,,,,,,,,,,,,
identity,identity_current_atoms,1.0,1atgA02,60,2.3619444608688354,1.7075190869617394,1.64289458104991,28.756710958480834,0.07840934313034002,4.246253606303066,5.278723138180769,4.7624883722419185,0.07411137922310533,0.8075786015228003,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,,,,,,,,,,,,,,,
identity,identity_current_atoms,1.0,1balA00,60,5.438900498549144,4.31533538926393,3.9250060959010047,62.20277662277222,0.08034854353742907,4.321540344691358,5.461628816865708,4.891584580778533,0.07503016837437948,0.5181036041821154,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,60,60,60,60,60,60,60,60,60,60,59,60,,,,,,,,,,,,,,,,,,,,,,
identity,identity_current_atoms,1.0,1by1A00,60,3.471535704533259,2.5581005094633675,2.5033217603018696,32.659754339853926,0.07796296256706509,4.246616617089783,5.102033205652054,4.674324911370919,0.07341638132929804,0.6597498650613055,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,,,,,,,,,,,,,,,
identity,identity_current_atoms,1.0,1c80A00,60,1.9775467445453008,1.4986468175334546,1.4660632827815248,22.96848462422689,0.07800018616799789,4.271640974873626,5.189680387528676,4.730660681201153,0.07428688850319175,0.8492842434315,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,,,,,,,,,,,,,,,
identity,identity_current_atoms,1.0,1ccdA00,60,4.378588104248047,3.3852107322121916,3.1843430820110687,45.79720137914022,0.0786142020188178,4.30296721164572,5.23314194560941,4.7680545786275665,0.07357841216193307,0.5565107788693963,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,,,,,,,,,,,,,,,
identity,identity_current_atoms,1.0,1ccwB02,60,2.8192927300930024,2.1756008505698845,2.032686806880139,34.852746915817264,0.07745477710646288,4.339192230587583,5.403016357788482,4.871104294188034,0.0738565926062755,0.7140286579504569,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,,,,,,,,,,,,,,,
identity,identity_current_atoms,1.0,1dgnA00,60,2.335992847879728,1.8019677325866972,1.7155543520614942,28.453921445210774,0.07555912859533707,4.206830799042063,5.019444061856907,4.613137430449485,0.07244172972260099,0.7361419173836664,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,,,,,,,,,,,,,,,
identity,identity_current_atoms,1.0,1eb6A00,60,2.4600986848274866,1.822414949022277,1.7789919979153843,28.347768704096477,0.07801035428775055,4.28738541391315,5.164650730605939,4.726018072259546,0.07361656312238085,0.7883880570750815,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,,,,,,,,,,,,,,,
identity,identity_current_atoms,1.0,1ecmA00,60,3.36400213042895,2.423943832625893,2.307143488713356,35.71825812657674,0.07662024766037966,4.1783038231971,5.237586243050932,4.707945033124015,0.07281353681175796,0.6309103642617063,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,,,,,,,,,,,,,,,
